t,theta,omega,x,y
0.0000000000,0.1835058892,-0.2483419910,0.1824777131,-0.9832099899
0.0000000000,0.1832566526,-0.2501308968,0.1822326555,-0.9832554395
0.0000000000,0.1830056282,-0.2519173899,0.1819858287,-0.9833011533
0.0000000000,0.1827528186,-0.2537014530,0.1817372349,-0.9833471297
0.0000000000,0.1824982261,-0.2554830687,0.1814868762,-0.9833933667
0.0000000000,0.1822418533,-0.2572622197,0.1812347549,-0.9834398627
0.0000000000,0.1819837025,-0.2590388888,0.1809808731,-0.9834866159
0.0000000000,0.1817237763,-0.2608130587,0.1807252331,-0.9835336243
0.0000000000,0.1814620772,-0.2625847121,0.1804678370,-0.9835808863
0.0000000000,0.1811986077,-0.2643538319,0.1802086872,-0.9836283999
0.0000000000,0.1809333704,-0.2661204008,0.1799477859,-0.9836761634
0.0000000000,0.1806663678,-0.2678844018,0.1796851354,-0.9837241748
0.0000000000,0.1803976025,-0.2696458175,0.1794207379,-0.9837724324
0.0000000000,0.1801270770,-0.2714046309,0.1791545959,-0.9838209343
0.0000000000,0.1798547941,-0.2731608250,0.1788867116,-0.9838696786
0.0000000000,0.1795807563,-0.2749143825,0.1786170874,-0.9839186634
0.0000000000,0.1793049662,-0.2766652865,0.1783457256,-0.9839678867
0.0000000000,0.1790274266,-0.2784135200,0.1780726287,-0.9840173469
0.0000000000,0.1787481401,-0.2801590658,0.1777977990,-0.9840670418
0.0000000000,0.1784671093,-0.2819019071,0.1775212389,-0.9841169695
0.0000000000,0.1781843371,-0.2836420269,0.1772429509,-0.9841671283
0.0000000000,0.1778998262,-0.2853794082,0.1769629374,-0.9842175160
0.0000000000,0.1776135793,-0.2871140341,0.1766812009,-0.9842681308
0.0000000000,0.1773255991,-0.2888458877,0.1763977438,-0.9843189706
0.0000000000,0.1770358884,-0.2905749522,0.1761125687,-0.9843700336
0.0000000000,0.1767444501,-0.2923012107,0.1758256781,-0.9844213178
0.0000000000,0.1764512869,-0.2940246464,0.1755370745,-0.9844728211
0.0000000000,0.1761564017,-0.2957452425,0.1752467604,-0.9845245416
0.0000000000,0.1758597974,-0.2974629823,0.1749547384,-0.9845764772
0.0000000000,0.1755614767,-0.2991778489,0.1746610112,-0.9846286260
0.0000000000,0.1752614427,-0.3008898257,0.1743655812,-0.9846809860
0.0000000000,0.1749596981,-0.3025988961,0.1740684511,-0.9847335550
0.0000000000,0.1746562458,-0.3043050432,0.1737696235,-0.9847863311
