mode,theta0,period,steps,cpu_time,avg_dt,max_error,period_error,real_time
adaptive,0.52,1.80567984,164,0.000029,0.122774,0.000025,0.200387,yes
analytic,0.53,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.53,1.80546965,2007,0.000135,0.010000,0.000003,0.200597,yes
fixed_1e-03,0.53,1.80546967,20061,0.001352,0.001000,0.000003,0.200597,yes
fixed_1e-04,0.53,1.80546967,200000,0.013465,0.000100,0.000003,0.200597,yes
adaptive,0.53,1.80567916,161,0.000028,0.125074,0.000026,0.200388,yes
analytic,0.54,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.54,1.80547002,2007,0.000135,0.010000,0.000003,0.200597,yes
fixed_1e-03,0.54,1.80547004,20061,0.001348,0.001000,0.000003,0.200597,yes
fixed_1e-04,0.54,1.80547004,200000,0.013477,0.000100,0.000003,0.200597,yes
adaptive,0.54,1.80567348,157,0.000027,0.128379,0.000027,0.200393,yes
analytic,0.55,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.55,1.80547040,2007,0.000135,0.010000,0.000003,0.200596,yes
fixed_1e-03,0.55,1.80547041,20061,0.001364,0.001000,0.000003,0.200596,yes
fixed_1e-04,0.55,1.80547041,200000,0.013441,0.000100,0.000003,0.200596,yes
adaptive,0.55,1.80565971,154,0.000026,0.130861,0.000027,0.200407,yes
analytic,0.56,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.56,1.80547078,2007,0.000134,0.010000,0.000004,0.200596,yes
fixed_1e-03,0.56,1.80547079,20061,0.001366,0.001000,0.000004,0.200596,yes
fixed_1e-04,0.56,1.80547079,200000,0.013465,0.000100,0.000004,0.200596,yes
adaptive,0.56,1.80567578,151,0.000026,0.133425,0.000028,0.200391,yes
analytic,0.57,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.57,1.80547117,2007,0.000134,0.010000,0.000004,0.200596,yes
fixed_1e-03,0.57,1.80547118,20061,0.001345,0.001000,0.000004,0.200596,yes
fixed_1e-04,0.57,1.80547118,200000,0.013454,0.000100,0.000004,0.200596,yes
adaptive,0.57,1.80565666,147,0.000025,0.137129,0.000029,0.200410,yes
analytic,0.58,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.58,1.80547156,2007,0.000135,0.010000,0.000004,0.200595,yes
fixed_1e-03,0.58,1.80547158,20061,0.001345,0.001000,0.000004,0.200595,yes
fixed_1e-04,0.58,1.80547158,200000,0.013475,0.000100,0.000004,0.200595,yes
adaptive,0.58,1.80562110,146,0.000025,0.137725,0.000030,0.200446,yes
analytic,0.59,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.59,1.80547196,2007,0.000135,0.010000,0.000004,0.200595,yes
fixed_1e-03,0.59,1.80547198,20061,0.001350,0.001000,0.000004,0.200595,yes
fixed_1e-04,0.59,1.80547198,200000,0.013457,0.000100,0.000004,0.200595,yes
adaptive,0.59,1.80550224,150,0.000026,0.134226,0.000030,0.200564,yes
analytic,0.60,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.60,1.80547237,2007,0.000134,0.010000,0.000004,0.200594,yes
fixed_1e-03,0.60,1.80547239,20061,0.001345,0.001000,0.000004,0.200594,yes
fixed_1e-04,0.60,1.80547239,200000,0.013476,0.000100,0.000004,0.200594,yes
adaptive,0.60,1.80540528,150,0.000025,0.133789,0.000030,0.200661,yes
analytic,0.61,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.61,1.80547279,2007,0.000135,0.010000,0.000005,0.200594,yes
fixed_1e-03,0.61,1.80547280,20061,0.001346,0.001000,0.000005,0.200594,yes
